tdate,symbol,open,high,low,close,volume
20090102,AMAT,10.12,10.72,10.01,10.67,10074600
20090105,AMAT,10.44,10.8,10.37,10.67,16247500
20090106,AMAT,10.84,11.71,10.74,11.58,26660800
20090107,AMAT,11.17,11.31,10.47,10.6,25620900
20090108,AMAT,10.47,10.76,10.27,10.74,22078800
20090109,AMAT,10.78,10.81,10.33,10.37,17581600
20090112,AMAT,10.4,10.44,9.91,10,20137600
20090113,AMAT,9.82,10.63,9.75,10.19,22413900
20090114,AMAT,9.92,10.04,9.58,9.73,15423400
20090115,AMAT,9.78,9.84,9.29,9.7,20151000
20090116,AMAT,10.18,10.31,9.61,10.18,24984100
20090120,AMAT,10.03,10.15,9.4,9.4,17276300
20090121,AMAT,9.61,9.61,9,9.42,25715400
20090122,AMAT,9.02,9.41,8.85,9.15,20272500
20090123,AMAT,8.98,9.89,8.94,9.71,19632800
20090126,AMAT,9.62,10.09,9.51,9.83,17655300
20090127,AMAT,9.93,10.28,9.86,10.08,18314000
20090128,AMAT,10.23,10.47,10.16,10.38,15670800
20090129,AMAT,10.12,10.2,9.47,9.6,22718500
20090130,AMAT,9.69,9.87,9.31,9.37,21253500
20090202,AMAT,9.25,9.52,9.07,9.41,24355400
20090203,AMAT,9.35,9.59,9.13,9.58,21220400
20090204,AMAT,9.56,10.23,9.46,9.83,23412900
20090205,AMAT,9.66,10.3,9.66,10.23,22772300
20090206,AMAT,10.23,10.51,10.14,10.45,17174400
20090209,AMAT,10.46,10.56,10.12,10.2,27047400
20090210,AMAT,10.05,10.42,9.68,9.69,35956700
20090211,AMAT,9.47,10.05,9.46,9.77,26078000
20090212,AMAT,9.6,9.69,9.07,9.42,39398000
20090213,AMAT,9.4,9.59,9.26,9.51,28518300
20090217,AMAT,9.11,9.15,8.58,8.61,27833800
20090218,AMAT,8.64,8.94,8.41,8.59,23256200
20090219,AMAT,8.74,8.77,8.25,8.34,30449500
20090220,AMAT,8.3,8.93,8.19,8.76,33707700
20090223,AMAT,8.8,8.92,8.33,8.37,24107800
20090224,AMAT,8.5,8.78,8.41,8.74,22530800
20090225,AMAT,8.64,9.79,8.54,9.45,46238400
20090226,AMAT,9.46,9.99,9.35,9.84,54131800
20090227,AMAT,9.55,9.9,9.21,9.21,39333000
20090302,AMAT,9.06,9.3,8.78,8.85,28072200
20090303,AMAT,8.99,9.07,8.7,8.85,21909600
20090304,AMAT,8.9,9.44,8.89,9.3,21710000
20090305,AMAT,9.08,9.39,9.01,9.04,23433200
20090306,AMAT,9.09,9.29,8.45,8.7,43140600
20090309,AMAT,8.48,9.07,8.46,8.58,19395500
20090310,AMAT,8.8,9.25,8.57,9.22,24799600
20090311,AMAT,9.19,9.67,9.18,9.6,22364100
20090312,AMAT,9.48,10.18,9.44,10.14,24807100
20090313,AMAT,10.14,10.61,10.01,10.59,32285000
20090316,AMAT,10.68,10.8,10.35,10.43,35792600
20090317,AMAT,10.46,10.7,10.22,10.7,25520900
20090318,AMAT,10.53,10.9,10.45,10.85,26293300
20090319,AMAT,10.98,10.99,10.55,10.7,18977500
20090320,AMAT,10.86,10.96,10.08,10.21,23658600
20090323,AMAT,10.47,11.07,10.44,11.06,23166500
20090324,AMAT,10.81,10.9,10.55,10.59,16440800
20090325,AMAT,10.65,11.17,10.61,10.99,29996900
20090326,AMAT,11.06,11.69,10.9,11.62,30269800
20090327,AMAT,11.43,11.5,11.2,11.23,18660600
20090330,AMAT,10.91,11.01,10.47,10.66,18865700
20090331,AMAT,10.79,10.92,10.58,10.75,17575200
20090401,AMAT,10.55,10.83,10.45,10.76,17294600
20090402,AMAT,11.05,11.6,10.98,11.44,19923100
20090403,AMAT,11.5,11.82,11.39,11.81,21739300
20090406,AMAT,11.7,11.76,11.25,11.56,17990000
20090407,AMAT,11.09,11.2,10.4,10.55,26516200
20090408,AMAT,10.53,10.83,10.48,10.75,16453500
20090409,AMAT,10.95,11.47,10.9,11.45,16858800
20090413,AMAT,11.46,11.63,11.21,11.51,15820500
20090414,AMAT,11.44,11.89,11.23,11.76,27541500
20090415,AMAT,11.45,11.54,11.14,11.43,17836400
20090416,AMAT,11.74,11.85,11.32,11.83,14536400
20090417,AMAT,11.85,11.99,11.48,11.92,19630600
20090420,AMAT,11.67,11.75,11.05,11.13,21150700
20090421,AMAT,11.19,11.49,10.95,11.25,20549300
20090422,AMAT,11.21,11.94,11.05,11.61,21850700
20090423,AMAT,11.7,11.7,11,11.45,20837200
20090424,AMAT,11.48,11.77,11.18,11.7,17371900
20090427,AMAT,11.6,11.92,11.44,11.59,15428500
20090428,AMAT,11.52,11.68,11.24,11.41,13298300
20090429,AMAT,11.44,11.85,11.3,11.59,15526200
20090430,AMAT,11.8,12.4,11.65,12.21,22840300
20090501,AMAT,12.46,12.48,11.89,12.18,13775000
