tdate,symbol,open,high,low,close,volume
20090102,SPI,7.36,7.51,7.36,7.51,22350
20090105,SPI,7.49,7.53,7.49,7.51,28620
20090106,SPI,7.43,7.61,7.43,7.55,63600
20090107,SPI,7.43,7.44,7.3,7.38,11600
20090108,SPI,7.32,7.41,7.32,7.41,20660
20090109,SPI,7.34,7.37,7.31,7.35,18150
20090112,SPI,7.3,7.3,7.13,7.13,32700
20090113,SPI,7.01,7.18,7.01,7.18,5200
20090114,SPI,7.0999,7.1,6.94,6.947,15350
20090115,SPI,6.88,7.01,6.8,6.91,37400
20090116,SPI,6.91,7.06,6.91,7.03,27500
20090120,SPI,6.88,6.88,6.73,6.77,27000
20090121,SPI,6.67,6.88,6.61,6.88,33950
20090122,SPI,6.84,6.93,6.84,6.88,10200
20090123,SPI,6.6,6.89,6.6,6.89,28300
20090126,SPI,6.89,7.06,6.89,6.96,156939
20090127,SPI,6.93,7.05,6.93,7.03,58718
20090128,SPI,7.13,7.21,7.1,7.19,178500
20090129,SPI,7.15,7.15,7.03,7.05,29830
20090130,SPI,6.95,6.95,6.92,6.93,3600
20090202,SPI,6.81,6.91,6.81,6.9,100940
20090203,SPI,6.87,6.97,6.87,6.97,32500
20090204,SPI,7.01,7.068,6.94,6.94,78600
20090205,SPI,6.91,7.047,6.88,7.04,38000
20090206,SPI,7.2,7.207,7.1,7.207,18562
20090209,SPI,7.17,7.227,7.17,7.2,16300
20090210,SPI,7.13,7.16,6.9,6.97,12300
20090211,SPI,6.94,7,6.92,6.9228,15400
20090212,SPI,6.83,6.96,6.54,6.96,14220
20090213,SPI,6.86,7.06,6.86,6.98,21705
20090217,SPI,6.7,6.72,6.58,6.67,131350
20090218,SPI,6.67,6.67,6.55,6.64,28150
20090219,SPI,6.69,6.6908,6.58,6.58,41892
20090220,SPI,6.39,6.55,6.39,6.51,99460
20090223,SPI,6.47,6.47,6.32,6.33,169536
20090224,SPI,6.31,6.53,6.31,6.53,117885
20090225,SPI,6.5,6.58,6.33,6.52,85200
20090226,SPI,6.47,6.56,6.41,6.42,27930
20090227,SPI,6.26,6.3844,6.26,6.31,60750
20090302,SPI,6.19,6.19,6.02,6.02,72784
20090303,SPI,6,6.08,5.71,5.98,99554
20090304,SPI,5.99,6.18,5.98,6.12,124143
20090305,SPI,5.99,5.99,5.9,5.9,47300
20090306,SPI,5.88,6.046,5.69,5.85,99770
20090309,SPI,5.77,5.9,5.68,5.81,35000
20090310,SPI,5.85,6.1839,5.85,6.12,88830
20090311,SPI,6.18,6.18,5.92,5.99,45300
20090312,SPI,5.94,6.28,5.94,6.18,113160
20090313,SPI,6.2,6.35,6.1103,6.19,51250
20090316,SPI,6.25,7.25,6.17,6.18,142950
20090317,SPI,6.19,6.4,6.17,6.35,28700
20090318,SPI,6.33,6.64,6.15,6.49,95830
20090319,SPI,6.51,6.57,6.41,6.57,14270
20090320,SPI,6.4,6.42,6.28,6.32,42000
20090323,SPI,6.4,6.676,6.4,6.676,86618
20090324,SPI,6.65,6.77,6.56,6.63,67293
20090325,SPI,6.66,6.6811,6.5,6.66,17877
20090326,SPI,6.73,6.79,6.65,6.78,14800
20090327,SPI,7.05,7.05,6.68,6.68,46970
20090330,SPI,6.47,6.6,6.44,6.44,9603
20090331,SPI,6.47,6.58,6.47,6.52,5370
20090401,SPI,6.41,6.56,6.41,6.56,19700
20090402,SPI,6.76,6.84,6.76,6.77,53777
20090403,SPI,6.78,6.85,6.78,6.8,9900
20090406,SPI,6.75,6.79,6.72,6.79,20300
20090407,SPI,6.72,6.75,6.64,6.65,24240
20090408,SPI,6.68,6.7,6.66,6.7,7900
20090409,SPI,6.85,6.91,6.85,6.89,30800
20090413,SPI,6.92,7.13,6.86,7.13,36900
20090414,SPI,6.89,6.89,6.86,6.86,4500
20090415,SPI,6.82,6.87,6.82,6.87,22660
20090416,SPI,6.9,7.0401,6.9,7,32130
20090417,SPI,7.02,7.22,7,7.22,17450
20090420,SPI,6.88,6.88,6.79,6.79,30440
20090421,SPI,6.77,6.94,6.75,6.9,85340
20090422,SPI,6.87,6.97,6.87,6.95,21840
20090423,SPI,6.83,6.88,6.75,6.75,41440
20090424,SPI,7,7.11,7,7.06,7850
20090427,SPI,7.03,7.033,6.96,6.96,6700
20090428,SPI,6.96,6.99,6.96,6.97,4790
20090429,SPI,7.07,7.19,7.07,7.12,9200
20090430,SPI,7.2,7.206,7.08,7.09,8400
20090501,SPI,7.07,7.14,7.07,7.11,59700
20090504,SPI,7.27,7.312,7.25,7.3,112046
20090505,SPI,7.31,7.31,7.27,7.27,10400
20090506,SPI,7.34,7.43,7.34,7.42,35060
20090507,SPI,7.61,7.62,7.32,7.36,11050
20090508,SPI,7.46,7.49,7.45,7.49,65600
20090511,SPI,7.41,7.41,7.39,7.41,25000
20090512,SPI,7.35,7.4005,7.31,7.4005,15420
20090513,SPI,7.24,7.28,7.21,7.21,28500
20090514,SPI,7.25,7.27,7.23,7.27,7700
20090515,SPI,7.29,7.29,7.21,7.21,7650
20090518,SPI,7.28,7.38,7.28,7.38,4300
20090519,SPI,7.59,7.59,7.41,7.41,13400
20090520,SPI,7.43,7.5101,7.37,7.37,29920
20090521,SPI,7.31,7.3101,7.23,7.27,18340
20090522,SPI,7.31,7.32,7.27,7.27,10300
20090526,SPI,7.37,7.48,7.37,7.46,44100
20090527,SPI,7.46,7.554,7.39,7.4,46900
20090528,SPI,7.46,7.46,7.4,7.41,21800
20090529,SPI,7.5,7.5599,7.46,7.46,8800
20090601,SPI,7.55,7.72,7.55,7.72,4100
20090602,SPI,7.72,7.77,7.72,7.77,13400
20090603,SPI,7.68,7.68,7.68,7.68,700
20090604,SPI,7.71,7.75,7.71,7.75,1900
20090605,SPI,7.81,7.81,7.76,7.76,8500
20090608,SPI,7.51,7.72,7.51,7.68,11000
20090609,SPI,7.8,7.8,7.8,7.8,3500
20090610,SPI,7.81,7.9199,7.71,7.71,17100
20090611,SPI,7.79,7.87,7.79,7.87,18100
20090612,SPI,7.76,7.78,7.76,7.78,5100
20090615,SPI,7.69,7.69,7.65,7.65,16400
20090616,SPI,7.7,7.7,7.61,7.61,8310
20090617,SPI,7.6,7.78,7.46,7.61,62790
20090618,SPI,7.58,7.65,7.57,7.63,31450
20090619,SPI,7.78,7.78,7.63,7.64,52000
20090622,SPI,7.69,7.74,7.48,7.48,119080
20090623,SPI,7.25,7.48,7.25,7.48,21010
20090624,SPI,7.54,7.57,7.49,7.49,12950
20090625,SPI,7.48,7.7,7.48,7.68,25400
20090626,SPI,7.62,7.62,7.62,7.62,12500
20090629,SPI,7.77,7.77,7.71,7.71,1700
20090630,SPI,7.74,7.79,7.63,7.67,12768
20090701,SPI,7.74,7.86,7.74,7.76,17300
20090702,SPI,7.66,7.66,7.66,7.66,300
20090706,SPI,7.46,7.64,7.46,7.64,20580
20090707,SPI,7.5,7.5,7.44,7.44,14100
20090708,SPI,7.37,7.53,7.01,7.33,24400
20090709,SPI,7.54,7.54,7.42,7.43,15218
20090710,SPI,7.43,7.43,7.37,7.37,9333
20090713,SPI,7.35,7.52,7.35,7.52,13120
